dataset,label,curve,x,y,threshold
NIH internal test,Atelectasis,pr,0.9325842696629213,0.1399662731871838,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.14020270270270271,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.13874788494077833,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.13898305084745763,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.13921901528013583,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.13945578231292516,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.13969335604770017,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.13993174061433447,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14017094017094017,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1404109589041096,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14065180102915953,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.140893470790378,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14113597246127366,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1413793103448276,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14162348877374784,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14186851211072665,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14211438474870017,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1423611111111111,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1426086956521739,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14285714285714285,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1431064572425829,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14335664335664336,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1436077057793345,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14385964912280702,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14411247803163443,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1443661971830986,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14462081128747795,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14487632508833923,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14513274336283186,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1453900709219858,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14564831261101244,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14590747330960854,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14616755793226383,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14642857142857144,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14669051878354203,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14695340501792115,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14721723518850988,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1474820143884892,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14774774774774774,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.148014440433213,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14828209764918626,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14855072463768115,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14882032667876588,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14909090909090908,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.1493624772313297,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14963503649635038,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.14990859232175502,
NIH internal test,Atelectasis,pr,0.9213483146067416,0.15018315018315018,
