model,dataset_group,dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper,prevalence
EfficientNet-B0,NIH internal test,NIH_internal_test,label,Pneumonia,739,17,0.4677366791591983,0.0299297888686717,0.0,0.9736842105263144,0.0,0.9512855209742884,0.0,0.9763888888888876,0.0,19.0,703.0,17.0,0.312975417134517,0.6374776270704091,0.0145385848116438,0.0663620037441076,0.0,0.0,0.96108271519085,0.9840849031619174,0.0,0.0,0.9345231037588486,0.9656489320179262,0.0,0.0,0.964712922234705,0.9869641682606152,0.023004059539918808
EfficientNet-B0,NIH internal test,NIH_internal_test,label,No Finding,739,375,0.7059047619047619,0.6961336604718585,0.8266666666666644,0.4258241758241746,0.6935123042505585,0.6292286874154254,0.5973025048169545,0.7045454545454514,310.0,209.0,155.0,65.0,0.6644877951129163,0.7485080667815073,0.6352055749086946,0.7534991497167283,0.7834240578606754,0.8650147887367958,0.3667746113989627,0.4837453728186132,0.6501762705303316,0.7319983312964173,0.5893242055909812,0.66713583556747,0.5437160556687022,0.6472936672571309,0.6310344827586177,0.7702534191472211,0.5074424898511503
EfficientNet-B0,VinDr-derived external,VinDr_external,label,Atelectasis,1000,131,0.6123033406828943,0.1752756540140952,0.0839694656488543,0.953970080552358,0.1208791208791202,0.8399999999999992,0.2156862745097996,0.8735511064278179,11.0,40.0,829.0,120.0,0.5662773331470322,0.6573547188110115,0.1446946680561309,0.2198057739289339,0.0381555944055941,0.1374045801526707,0.9415625224879454,0.9680296277353584,0.0572988505747123,0.1927431610942238,0.8164749999999992,0.8629999999999991,0.111111111111109,0.3393188359449891,0.8517139630005872,0.8961127126283821,0.131
EfficientNet-B0,VinDr-derived external,VinDr_external,label,Cardiomegaly,1000,276,0.5854051565377532,0.3528424393568167,0.0579710144927534,0.9682320441988936,0.1015873015873012,0.7169999999999993,0.4102564102563997,0.7294484911550461,16.0,23.0,701.0,260.0,0.5480821064314794,0.6201558671181175,0.311526089352696,0.4079048634479874,0.0351285378815967,0.0905660377358487,0.9552118469765516,0.9804506804877416,0.0631553194463859,0.1541058619836749,0.6914749999999993,0.7440499999999992,0.2674390243902361,0.5714285714285579,0.701554404145077,0.7559907407407399,0.276
EfficientNet-B0,VinDr-derived external,VinDr_external,label,Pleural Effusion,1000,288,0.7788262718476904,0.6508094761130068,0.5868055555555535,0.8356741573033696,0.5888501742160268,0.7639999999999992,0.5909090909090888,0.8333333333333321,169.0,117.0,595.0,119.0,0.7449638791719694,0.8082977347108408,0.5968545176288398,0.7026664618782862,0.5285120220733132,0.6427718555355845,0.8085007365607833,0.8651842148871184,0.5354474408365428,0.633865283762567,0.7384749999999992,0.7899999999999991,0.5357722212728541,0.6504763335942717,0.8039072513567307,0.8590775986083762,0.288
EfficientNet-B0,VinDr-derived external,VinDr_external,label,Pneumothorax,1000,59,0.6026585493254561,0.0914687251037395,0.2033898305084711,0.8916046758767259,0.1387283236994211,0.8509999999999991,0.1052631578947359,0.9469525959367936,12.0,102.0,839.0,47.0,0.5328882978723405,0.6631540459771714,0.0631271995167334,0.1477529454215174,0.1031820486815399,0.2945647969052164,0.8708205448402485,0.9112032965441316,0.0699347072026112,0.1989527500618444,0.8284749999999992,0.8719999999999991,0.0518444643657547,0.1546391752577303,0.9322882400543152,0.9603237500241018,0.059
EfficientNet-B0,VinDr-derived external,VinDr_external,label,Consolidation,1000,175,0.5935445887445887,0.2447355972712588,0.034285714285714,0.995151515151514,0.0648648648648645,0.8269999999999992,0.59999999999994,0.8292929292929284,6.0,4.0,821.0,169.0,0.5505321195681061,0.6398637753515386,0.2029258074643261,0.3075937481955157,0.0112331534261275,0.0670569900531403,0.9903141695064296,0.9999999999999988,0.0217955571394629,0.1246645480225981,0.8049999999999992,0.8475249999999991,0.2788961038960715,0.9999999999995,0.8068208317139518,0.850305140464709,0.175
EfficientNet-B0,VinDr-derived external,VinDr_external,label,Edema,1000,0,,,0.0,0.994999999999999,0.0,0.994999999999999,0.0,0.999999999999999,0.0,5.0,995.0,0.0,,,,,0.0,0.0,0.990999999999999,0.998999999999999,0.0,0.0,0.990999999999999,0.998999999999999,0.0,0.0,0.999999999999999,0.999999999999999,0.0
EfficientNet-B0,VinDr-derived external,VinDr_external,label,Pneumonia,1000,0,,,0.0,0.982999999999999,0.0,0.982999999999999,0.0,0.999999999999999,0.0,17.0,983.0,0.0,,,,,0.0,0.0,0.975474999999999,0.991524999999999,0.0,0.0,0.975474999999999,0.991524999999999,0.0,0.0,0.999999999999999,0.999999999999999,0.0
EfficientNet-B0,VinDr-derived external,VinDr_external,label,No Finding,1000,414,0.7658900924964138,0.7074463015893129,0.942028985507244,0.3310580204778151,0.6521739130434777,0.5839999999999994,0.4987212276214827,0.8899082568807298,390.0,392.0,194.0,24.0,0.7372052139660296,0.7939332805057346,0.6662978240782453,0.7507407903309179,0.9192678340741368,0.9645979020978998,0.2924913194444439,0.3678371806039482,0.6184087967813213,0.6824295718605756,0.5529999999999994,0.6119999999999993,0.4618107978977538,0.5342448757818401,0.8520811215887053,0.930695637238058,0.414


