dataset,method,average,label,brier,ece,mce,slope,intercept
VinDr_external,temperature,label,No Finding,0.21207698673966985,0.16752055787095826,0.33031527058580146,2.5549731747534166,-1.3231263270104774
VinDr_external,temperature,macro,macro,0.13386167313928618,0.1391098848692481,0.5498745104099438,1.0386181073381284,-1.0669403265536117
VinDr_external,temperature,micro,micro,0.13386167313928615,0.10074279391485372,0.2686569478890692,0.7152611524134779,-0.881814374350608
VinDr_external,platt,label,Atelectasis,0.10875207303098648,0.014099115207117601,0.08169296931382708,1.7293073328575876,1.1425667525798475
VinDr_external,platt,label,Cardiomegaly,0.255440252376717,0.2406674493744516,0.2406674493744516,1.148694229093744,2.8710061282132817
VinDr_external,platt,label,Pleural Effusion,0.16835314508621463,0.09362275715702074,0.4223259711474141,1.803524949393042,1.4462714355977935
VinDr_external,platt,label,Pneumothorax,0.056465259867263064,0.03895235203162095,0.23138502655236812,1.2337124110559379,-0.0651456915850879
VinDr_external,platt,label,Consolidation,0.15160951551401644,0.1072794917159371,0.3371533620798901,3.454906540846275,7.377103468141574
VinDr_external,platt,label,Edema,0.0013470520433161459,0.032226572640658625,0.22962419185063473,,
VinDr_external,platt,label,Pneumonia,0.0003588944373915639,0.018805782874911702,0.018805782874911702,,
VinDr_external,platt,label,No Finding,0.18527561902686296,0.10821493659872956,0.20830263692859108,2.381966859880281,0.15063003337509562
VinDr_external,platt,macro,macro,0.11595022642284604,0.08173355720005598,0.22124467376526108,1.9586853871878114,2.1537386877204177
VinDr_external,platt,micro,micro,0.11595022642284604,0.041639636010335795,0.1930271169984601,0.8236989042945627,0.08042839021839449
VinDr_external,isotonic,label,Atelectasis,0.10926767347222067,0.00972950292503285,0.1090621707060063,0.24943457349202,-1.343659884490108
VinDr_external,isotonic,label,Cardiomegaly,0.2503291578138543,0.23457814422363163,0.3384615384615385,0.32705403895058205,0.15753762689786524
VinDr_external,isotonic,label,Pleural Effusion,0.1670049578133996,0.07701466974996146,0.33035611521220776,1.6243860797818328,1.2266670892702056
VinDr_external,isotonic,label,Pneumothorax,0.05750587818686002,0.03990592836107867,0.1369079600361414,0.10534854157421891,-2.486631626263302
VinDr_external,isotonic,label,Consolidation,0.15139820585708408,0.11515049857638561,0.3030453275264289,1.4084328734215221,2.345443750590763
VinDr_external,isotonic,label,Edema,0.0015037850523956552,0.029707254207160923,0.11214953271028034,,
VinDr_external,isotonic,label,Pneumonia,0.0003525214318093621,0.01671649597071329,0.01671649597071329,,
VinDr_external,isotonic,label,No Finding,0.18685480754722272,0.09420246981552632,0.18518518518518523,1.7191424975555765,0.06320593174044097
